fr,en
"La recherche sur le web n'est pas configurée : seuls les accès aux sources sont proposés. Pour obtenir des résultats, des images et des actualités, déclarez un moteur de recherche programmable. Voir domaines_pour_moteur().","Web search is not configured: only access to the sources is offered. To get results, images and news, set up a programmable search engine. See domaines_pour_moteur()."
Recherche sur le web,Web search
"Le moteur ci-dessous est restreint aux sources de référence de la plateforme. Il apporte ses propres onglets : tout, images, actualités.","The engine below is restricted to the platform's reference sources. It brings its own tabs: all, images, news."
La recherche sur le web n'est pas configurée : seuls les accès aux sources sont proposés. Voir configurer_recherche().,Web search is not configured: only access to the sources is offered. See configurer_recherche().
"Les résultats du web s'affichent dans le moteur intégré, plus bas. Ajoutez une clef d'API pour que la plateforme les mette elle-même en forme, avec ses propres onglets.","Web results appear in the embedded engine below. Add an API key so the platform formats them itself, with its own tabs."
"Le manuel compte trente pages. Il présente la plateforme, détaille les cinq onglets, expose la méthode et recense les 341 indicateurs des quinze catégories avec leur code de collecte et leur unité.","The manual runs to thirty pages. It introduces the platform, details the five tabs, sets out the method and lists the 341 indicators of the fifteen categories with their collection code and unit."
"GoogleOPESc+, recherche orientée","GoogleOPESc+, guided search"
"Une recherche restreinte à trente-cinq sources institutionnelles choisies : données, publications et actualité. La définition de la notion et vos propres indicateurs s'affichent en tête.","A search restricted to thirty-five chosen institutional sources: data, publications and news. The definition of the notion and your own indicators appear first."
Reconnexion en cours,Reconnecting
%d observations effacées.,%d observations deleted.
%d observations vont être effacées. Cliquez de nouveau sur Supprimer pour confirmer.,%d observations will be deleted. Click Delete again to confirm.
Cette catégorie ne contient aucune donnée.,This category holds no data.
Compléter conserve ce qui est en base et ajoute ou corrige les périodes du fichier. Remplacer efface d'abord chaque série concernée : à retenir quand le nouveau fichier fait autorité sur l'ancien.,Complete keeps what is in the database and adds or corrects the file's periods. Replace first clears each affected series: use it when the new file supersedes the old one.
Compléter les données existantes,Complete existing data
"L'effacement porte sur les observations d'une catégorie. Les indicateurs restent au catalogue, prêts à être réalimentés. Cette opération est irréversible : la base n'est pas versionnée.","Deletion covers the observations of a category. The indicators stay in the catalogue, ready to be refilled. This operation is irreversible: the database is not versioned."
La connexion à la plateforme a été interrompue. Vos données sont intactes : rechargez la page pour reprendre.,The connection to the platform was interrupted. Your data is intact: reload the page to continue.
Remplacer les données existantes,Replace existing data
Supprimer,Delete
Supprimer des données,Delete data
Avant d'utiliser les matières premières,Before using commodity prices
La base des cours mondiaux doit être téléchargée puis importée dans la plateforme. Elle ne peut pas être récupérée automatiquement : le site du Fonds monétaire international ne le permet pas.,The world price database must be downloaded and then imported into the platform. It cannot be retrieved automatically: the International Monetary Fund site does not allow it.
Cliquez ici pour télécharger la base des matières premières,Click here to download the commodity price database
Télécharger la base,Download the database
"Sur la page qui s'affiche, allez dans la rubrique « Prix des matières premières » et cliquez sur « Accéder à la base de données ».","On the page that opens, go to the Commodity prices section and click Access the database."
Cliquez sur « Voir données ».,Click View data.
"Allez dans « Explorateur de données », définissez la période et choisissez les quinze dernières années.","Go to Data explorer, set the period and choose the last fifteen years."
"Cliquez sur « Postulez », puis sur « Télécharger ».","Click Apply, then Download."
"Choisissez de télécharger l'ensemble de données sur la page, et non les données complètes.","Choose to download the dataset shown on the page, not the complete data."
Importer dans la plateforme,Import into the platform
Ouvrez l'onglet « Collectes ».,Open the Data collection tab.
"Dans la rubrique « Importer un fichier », cliquez sur « Parcourir » et choisissez le fichier téléchargé.","In the Import a file section, click Browse and choose the downloaded file."
"Dans « Catégorie », choisissez « Matières premières commodityPrice ».","Under Category, choose Commodity prices (commodityPrice)."
"Cliquez sur « Importer », puis revenez ici.","Click Import, then come back here."
Une base est déjà livrée avec la plateforme. Ces étapes servent à la mettre à jour ou à étendre la période couverte.,A database already ships with the platform. These steps serve to update it or extend the period covered.
base à télécharger puis à importer avant utilisation,database to download and import before use
Marche à suivre,How to proceed
"Rubrique « Prix des matières premières », puis « Accéder à la base de données ».","Commodity prices section, then Access the database."
"Dans « Explorateur de données », choisissez les quinze dernières années.","In Data explorer, choose the last fifteen years."
"Cliquez sur « Postulez », puis « Télécharger ».","Click Apply, then Download."
"Choisissez l'ensemble de données sur la page, non les données complètes.","Choose the dataset shown on the page, not the complete data."
"Rubrique « Importer un fichier », cliquez sur « Parcourir ».","Import a file section, click Browse."
Catégorie : « Matières premières commodityPrice ».,Category: Commodity prices (commodityPrice).
"Le manuel présente la plateforme, détaille les cinq onglets, expose la méthode et recense les %d indicateurs des %d catégories avec leur code de collecte et leur unité.","The manual introduces the platform, details the five tabs, sets out the method and lists the %d indicators of the %d categories with their collection code and unit."
L'année de début (%d) est postérieure à l'année de fin (%d). La première doit être inférieure à la seconde.,The start year (%d) is later than the end year (%d). The first must be earlier than the second.
"Cette plateforme est publiée en lecture seule. Les données y sont figées à la date de publication : la collecte et l'import restent des opérations locales, menées sur le poste qui alimente la base.","This platform is published read-only. The data is frozen as at the publication date: collection and import remain local operations, carried out on the machine that feeds the database."
"Dans « Explorateur de données », définissez la période, par exemple les quinze dernières années.","In Data explorer, set the period, for example the last fifteen years."
Définition non renseignée. Lancez collecter_definitions().,Definition not available. Run collecter_definitions().
"La flèche devant « Ensemble de données » déroule les autres bases disponibles, dont l'indice des prix à la production.","The arrow before Dataset unfolds the other available databases, including the producer price index."
"La fréquence se choisit ensuite : annuelle, trimestrielle, mensuelle, ou toutes.","The frequency is then chosen: annual, quarterly, monthly, or all."
Source de la définition : %s,Definition source: %s
"Vous pouvez ensuite restreindre aux pays et aux indicateurs voulus, plutôt que de tout télécharger.","You can then narrow to the countries and indicators you want, rather than downloading everything."
« Transformer les données » permet d'en changer la présentation.,Transform data lets you change how they are laid out.
Source : %s,Source: %s
"Croissance du produit intérieur brut, Cameroun","Gross domestic product growth, Cameroon"
"Croissance du produit intérieur brut par habitant, Cameroun","Gross domestic product per capita growth, Cameroon"
Glossaire OPESc+,OPESc+ glossary
Aucune donnée à tracer au chargement. La base ne contient peut-être encore rien pour cette catégorie : lancez diagnostic_plateforme() dans la console.,No data to plot at startup. The database may hold nothing for this category yet: run diagnostic_plateforme() in the console.
"Pour la fréquence, choisissez « Tous » : la plateforme sépare ensuite les pas annuel, trimestriel et mensuel.","For frequency, choose All: the platform then separates the annual, quarterly and monthly steps."
texte publié en anglais par la source,text published in English by the source
Régions et regroupements,Regions and groupings
Monde,World
%d entités sur %d renseignent cet indicateur.,%d of %d entities report this indicator.
Choisissez un ou plusieurs pays,Choose one or more countries
