code_interne,categorie,secteur,libelle,source,code_source,frequences,unite,dimension_pays,par_defaut
C14.IT.CEL.SETS.P2,C14,S11,Abonnements à la téléphonie mobile,Banque mondiale (WDI),IT.CEL.SETS.P2,A,Pour 100 hab.,1,0
C14.IT.NET.BBND.P2,C14,S11,Abonnements haut débit fixe,Banque mondiale (WDI),IT.NET.BBND.P2,A,Pour 100 hab.,1,0
C14.BX.GSR.CCIS.ZS,C14,S11,Exportations de services TIC,Banque mondiale (WDI),BX.GSR.CCIS.ZS,A,% des exp. de services,1,0
C14.LP.LPI.OVRL.XQ,C14,S11,"Indice de performance logistique, score global",Banque mondiale (LPI),LP.LPI.OVRL.XQ,A,Score 1-5,1,0
C14.IS.AIR.GOOD.MT.K1,C14,S11,Trafic de fret aérien,Banque mondiale (WDI),IS.AIR.GOOD.MT.K1,A,Millions t-km,1,0
C14.IS.SHP.GOOD.TU,C14,S11,Trafic de conteneurs portuaires,Banque mondiale (WDI),IS.SHP.GOOD.TU,A,EVP,1,0
C14.EN.GHG.CO2.PC.CE.AR5,C14,S12,Émissions de CO2 par habitant,Banque mondiale (WDI),EN.GHG.CO2.PC.CE.AR5,A,t équiv. CO2 / hab.,1,0
C14.EN.GHG.CO2.MT.CE.AR5,C14,S12,Émissions totales de CO2,Banque mondiale (WDI),EN.GHG.CO2.MT.CE.AR5,A,Mt équiv. CO2,1,0
C14.EN.GHG.CO2.RT.GDP.PP.KD,C14,S12,Intensité carbone du PIB,Banque mondiale (WDI),EN.GHG.CO2.RT.GDP.PP.KD,A,kg / USD PPA,1,0
C14.AG.LND.FRST.ZS,C14,S12,Superficie forestière,Banque mondiale (WDI),AG.LND.FRST.ZS,A,% du territoire,1,0
C14.AG.LND.AGRI.ZS,C14,S12,Terres agricoles,Banque mondiale (WDI),AG.LND.AGRI.ZS,A,% du territoire,1,0
C14.ER.H2O.FWTL.ZS,C14,S12,Prélèvements annuels d'eau douce,Banque mondiale (WDI),ER.H2O.FWTL.ZS,A,% des ressources,1,0
C14.NY.GDP.TOTL.RT.ZS,C14,S12,Rentes totales des ressources naturelles,Banque mondiale (WDI),NY.GDP.TOTL.RT.ZS,A,% du PIB,1,0
C14.NY.GDP.PETR.RT.ZS,C14,S12,Rentes pétrolières,Banque mondiale (WDI),NY.GDP.PETR.RT.ZS,A,% du PIB,1,0
C14.NY.GDP.MINR.RT.ZS,C14,S12,Rentes minières,Banque mondiale (WDI),NY.GDP.MINR.RT.ZS,A,% du PIB,1,0
C14.NY.ADJ.SVNG.GN.ZS,C14,S12,Épargne nette ajustée hors dommages,Banque mondiale (WDI),NY.ADJ.SVNG.GN.ZS,A,% du RNB,1,0
C14.EN.ATM.PM25.MC.M3,C14,S12,Exposition de la population aux particules fines,Banque mondiale (WDI),EN.ATM.PM25.MC.M3,A,µg / m³,1,0
C14.AG.PRD.FOOD.XD,C14,S13,Indice de production alimentaire,Banque mondiale (WDI),AG.PRD.FOOD.XD,A,Indice 2014-2016 = 100,1,0
C14.AG.PRD.CROP.XD,C14,S13,Indice de production végétale,Banque mondiale (WDI),AG.PRD.CROP.XD,A,Indice 2014-2016 = 100,1,0
C14.AG.PRD.LVSK.XD,C14,S13,Indice de production animale,Banque mondiale (WDI),AG.PRD.LVSK.XD,A,Indice 2014-2016 = 100,1,0
C14.AG.YLD.CREL.KG,C14,S13,Rendement céréalier,Banque mondiale (WDI),AG.YLD.CREL.KG,A,kg / hectare,1,0
C14.AG.LND.ARBL.HA.PC,C14,S13,Terres arables par habitant,Banque mondiale (WDI),AG.LND.ARBL.HA.PC,A,Hectares / hab.,1,0
C14.AG.CON.FERT.ZS,C14,S13,Consommation d'engrais,Banque mondiale (WDI),AG.CON.FERT.ZS,A,kg / ha de terres arables,1,0
C14.TX.VAL.AGRI.ZS.UN,C14,S13,Exportations de produits agricoles bruts,Banque mondiale (WDI),TX.VAL.AGRI.ZS.UN,A,% des exp. de march.,1,0
C14.TM.VAL.FOOD.ZS.UN,C14,S13,Importations de produits alimentaires,Banque mondiale (WDI),TM.VAL.FOOD.ZS.UN,A,% des imp. de march.,1,0
C14.NV.AGR.EMPL.KD,C14,S13,Valeur ajoutée agricole par travailleur,Banque mondiale (WDI),NV.AGR.EMPL.KD,A,USD constants 2015,1,0
C14.SN.ITK.SVFI.ZS,C14,S13,Prévalence de l'insécurité alimentaire grave,FAO (FAOSTAT),SN.ITK.SVFI.ZS,A,% de la population,1,0
C12.eci,C12,S14,Indice de complexité économique (ECI),Growth Lab Harvard (Atlas),eci,A,Score standardisé,1,0
C12.eci_rank,C12,S14,Rang de complexité économique,Growth Lab Harvard (Atlas),eci_rank,A,Rang,1,0
C12.coi,C12,S14,Indice de perspectives de complexité (COI),Growth Lab Harvard (Atlas),coi,A,Score standardisé,1,0
C12.avg_distance,C12,S14,Distance moyenne au produit,Growth Lab Harvard (Atlas),avg_distance,A,Indice 0-1,1,0
C12.diversity,C12,S14,Diversité des exportations (produits à AR > 1),Growth Lab Harvard (Atlas),diversity,A,Nombre de produits,1,0
C12.avg_ubiquity,C12,S14,Ubiquité moyenne des produits exportés,Growth Lab Harvard (Atlas),avg_ubiquity,A,Nombre de pays,1,0
C12.growth_proj,C12,S14,Projection de croissance à 10 ans,Growth Lab Harvard,growth_proj,A,% annualisé,1,0
C12.pci,C12,S14,Indice de complexité des produits (PCI),Growth Lab Harvard (Atlas),pci,A,Score standardisé,1,0
C12.eci_hs92,C12,S14,"Complexité économique, série OEC",OEC,eci_hs92,A,Score standardisé,1,0
C12.country_product_year,C12,S14,Valeur des exportations par produit (HS 4 chiffres),Growth Lab / Comtrade,country_product_year,A,USD courants,1,0
C12.US_ConcentDiversIndices,C12,S14,Indice de concentration des exportations (HHI),CNUCED (UNCTADstat),US_ConcentDiversIndices,A,Indice 0-1,1,0
C12.TX.VAL.TECH.MF.ZS,C12,S14,Part des produits de haute technologie dans les exportations,Banque mondiale (WDI),TX.VAL.TECH.MF.ZS,A,% des exp. manuf.,1,0
C13.GE.EST,C13,S15,Efficacité des pouvoirs publics,Banque mondiale (WGI),GE.EST,A,"Score -2,5 à 2,5",1,0
C13.RQ.EST,C13,S15,Qualité de la réglementation,Banque mondiale (WGI),RQ.EST,A,"Score -2,5 à 2,5",1,0
C13.RL.EST,C13,S15,État de droit,Banque mondiale (WGI),RL.EST,A,"Score -2,5 à 2,5",1,0
C13.CC.EST,C13,S15,Maîtrise de la corruption,Banque mondiale (WGI),CC.EST,A,"Score -2,5 à 2,5",1,0
C13.PV.EST,C13,S15,Stabilité politique et absence de violence,Banque mondiale (WGI),PV.EST,A,"Score -2,5 à 2,5",1,0
C13.VA.EST,C13,S15,Expression et responsabilité,Banque mondiale (WGI),VA.EST,A,"Score -2,5 à 2,5",1,0
C13.IQ.CPA.ECON.XQ,C13,S15,"Note CPIA, gestion économique",Banque mondiale (WDI),IQ.CPA.ECON.XQ,A,Score 1-6,1,0
C13.IQ.CPA.PUBS.XQ,C13,S15,"Note CPIA, gestion du secteur public",Banque mondiale (WDI),IQ.CPA.PUBS.XQ,A,Score 1-6,1,0
C13.IQ.CPA.TRAN.XQ,C13,S15,"Note CPIA, transparence et corruption",Banque mondiale (WDI),IQ.CPA.TRAN.XQ,A,Score 1-6,1,0
C13.BREADY_REG,C13,S15,"Indice Business Ready, pilier réglementaire",Banque mondiale (B-READY),BREADY_REG,A,Score 0-100,1,0
C13.CPI,C13,S15,Indice de perception de la corruption,Transparency International,CPI,A,Score 0-100,1,0
C13.IC.TAX.DURS,C13,S15,Temps consacré aux formalités fiscales,Banque mondiale (WDI),IC.TAX.DURS,A,Heures / an,1,0
C15.LMICS,C15,S02,"Indice des produits, pays à revenu faible et intermédiaire",Import local (PCPS),LMICS,"M,T,A",,0,0
C15.PAGRI,C15,S02,Indice des produits agricoles,Import local (PCPS),PAGRI,"M,T,A",,0,0
C15.PALLFNF,C15,S02,Indice de tous les produits de base,Import local (PCPS),PALLFNF,"M,T,A",,0,0
C15.PALLMETA,C15,S02,Indice de tous les métaux,Import local (PCPS),PALLMETA,"M,T,A",,0,0
C15.PALUM,C15,S02,Aluminium,Import local (PCPS),PALUM,"M,T,A",,0,0
C15.PAPPLE,C15,S02,Fruits hors agrumes,Import local (PCPS),PAPPLE,"M,T,A",,0,0
C15.PBANSOP,C15,S02,Bananes,Import local (PCPS),PBANSOP,"M,T,A",,0,0
C15.PBARL,C15,S02,Orge,Import local (PCPS),PBARL,"M,T,A",,0,0
C15.PBEEF,C15,S02,Viande bovine,Import local (PCPS),PBEEF,"M,T,A",,0,0
C15.PBEVE,C15,S02,Indice des boissons,Import local (PCPS),PBEVE,"M,T,A",,0,0
C15.PCERE,C15,S02,Indice des céréales,Import local (PCPS),PCERE,"M,T,A",,0,0
C15.PCHANA,C15,S02,Légumineuses,Import local (PCPS),PCHANA,"M,T,A",,0,0
C15.PCHROM,C15,S02,Chrome,Import local (PCPS),PCHROM,"M,T,A",,0,0
C15.PCOAL,C15,S02,Indice du charbon,Import local (PCPS),PCOAL,"M,T,A",,0,0
C15.PCOALAU,C15,S02,"Charbon, Australie",Import local (PCPS),PCOALAU,"M,T,A",,0,0
C15.PCOALSA,C15,S02,"Charbon, Afrique du Sud",Import local (PCPS),PCOALSA,"M,T,A",,0,0
C15.PCOBA,C15,S02,Cobalt,Import local (PCPS),PCOBA,"M,T,A",,0,0
C15.PCOCO,C15,S02,Cacao,Import local (PCPS),PCOCO,"M,T,A",,0,0
C15.PCOFF,C15,S02,Indice du café,Import local (PCPS),PCOFF,"M,T,A",,0,0
C15.PCOFFOTM,C15,S02,"Café, arabicas doux",Import local (PCPS),PCOFFOTM,"M,T,A",,0,0
C15.PCOFFROB,C15,S02,"Café, robusta",Import local (PCPS),PCOFFROB,"M,T,A",,0,0
C15.PCOIL,C15,S02,Huile de coco,Import local (PCPS),PCOIL,"M,T,A",,0,0
C15.PCOPP,C15,S02,Cuivre,Import local (PCPS),PCOPP,"M,T,A",,0,0
C15.PCOTTIND,C15,S02,Coton,Import local (PCPS),PCOTTIND,"M,T,A",,0,0
C15.PDAP,C15,S02,Phosphate diammonique,Import local (PCPS),PDAP,"M,T,A",,0,0
C15.PENTM,C15,S02,Indice des métaux de la transition énergétique,Import local (PCPS),PENTM,"M,T,A",,0,0
C15.PEXGALL,C15,S02,Indice de tous les produits hors or,Import local (PCPS),PEXGALL,"M,T,A",,0,0
C15.PEXGMETA,C15,S02,Indice des métaux hors or,Import local (PCPS),PEXGMETA,"M,T,A",,0,0
C15.PFANDB,C15,S02,Indice alimentation et boissons,Import local (PCPS),PFANDB,"M,T,A",,0,0
C15.PFERT,C15,S02,Indice des engrais,Import local (PCPS),PFERT,"M,T,A",,0,0
C15.PFOOD,C15,S02,Indice alimentaire,Import local (PCPS),PFOOD,"M,T,A",,0,0
C15.PFSHMEAL,C15,S02,Farine de poisson,Import local (PCPS),PFSHMEAL,"M,T,A",,0,0
C15.PGNUTS,C15,S02,Arachides,Import local (PCPS),PGNUTS,"M,T,A",,0,0
C15.PGOLD,C15,S02,Or,Import local (PCPS),PGOLD,"M,T,A",,0,0
C15.PHARD,C15,S02,Indice du bois dur,Import local (PCPS),PHARD,"M,T,A",,0,0
C15.PHIDE,C15,S02,Cuirs et peaux,Import local (PCPS),PHIDE,"M,T,A",,0,0
C15.PINDU,C15,S02,Indice des matières industrielles,Import local (PCPS),PINDU,"M,T,A",,0,0
C15.PIORECR,C15,S02,Minerai de fer,Import local (PCPS),PIORECR,"M,T,A",,0,0
C15.PLAMB,C15,S02,Viande ovine,Import local (PCPS),PLAMB,"M,T,A",,0,0
C15.PLEAD,C15,S02,Plomb,Import local (PCPS),PLEAD,"M,T,A",,0,0
C15.PLITH,C15,S02,Lithium,Import local (PCPS),PLITH,"M,T,A",,0,0
C15.PLMMODY,C15,S02,Molybdène,Import local (PCPS),PLMMODY,"M,T,A",,0,0
C15.PLOGORE,C15,S02,Grumes,Import local (PCPS),PLOGORE,"M,T,A",,0,0
C15.PLOGSK,C15,S02,"Grumes, Cameroun",Import local (PCPS),PLOGSK,"M,T,A",,0,0
C15.PMAIZMT,C15,S02,Maïs,Import local (PCPS),PMAIZMT,"M,T,A",,0,0
C15.PMANGELE,C15,S02,Manganèse,Import local (PCPS),PMANGELE,"M,T,A",,0,0
C15.PMEAT,C15,S02,Indice des viandes,Import local (PCPS),PMEAT,"M,T,A",,0,0
C15.PMETA,C15,S02,Indice des métaux,Import local (PCPS),PMETA,"M,T,A",,0,0
C15.PMILK,C15,S02,Lait,Import local (PCPS),PMILK,"M,T,A",,0,0
C15.PNFUEL,C15,S02,Indice des produits hors combustibles,Import local (PCPS),PNFUEL,"M,T,A",,0,0
C15.PNGAS,C15,S02,Indice du gaz naturel,Import local (PCPS),PNGAS,"M,T,A",,0,0
C15.PNGASEU,C15,S02,"Gaz naturel, Europe",Import local (PCPS),PNGASEU,"M,T,A",,0,0
C15.PNGASJP,C15,S02,"Gaz naturel, Japon",Import local (PCPS),PNGASJP,"M,T,A",,0,0
C15.PNGASUS,C15,S02,"Gaz naturel, États-Unis",Import local (PCPS),PNGASUS,"M,T,A",,0,0
C15.PNICK,C15,S02,Nickel,Import local (PCPS),PNICK,"M,T,A",,0,0
C15.PNRG,C15,S02,Indice des produits énergétiques,Import local (PCPS),PNRG,"M,T,A",,0,0
C15.POATS,C15,S02,Avoine,Import local (PCPS),POATS,"M,T,A",,0,0
C15.POILAPSP,C15,S02,"Pétrole brut, moyenne des trois places",Import local (PCPS),POILAPSP,"M,T,A",,0,0
C15.POILBRE,C15,S02,"Pétrole brut, Brent",Import local (PCPS),POILBRE,"M,T,A",,0,0
C15.POILDUB,C15,S02,"Pétrole brut, Dubaï",Import local (PCPS),POILDUB,"M,T,A",,0,0
C15.POILWTI,C15,S02,"Pétrole brut, WTI",Import local (PCPS),POILWTI,"M,T,A",,0,0
C15.POLVOIL,C15,S02,Huile d'olive,Import local (PCPS),POLVOIL,"M,T,A",,0,0
C15.PORANG,C15,S02,Oranges,Import local (PCPS),PORANG,"M,T,A",,0,0
C15.PPALLA,C15,S02,Palladium,Import local (PCPS),PPALLA,"M,T,A",,0,0
C15.PPLAT,C15,S02,Platine,Import local (PCPS),PPLAT,"M,T,A",,0,0
C15.PPMETA,C15,S02,Indice des métaux précieux,Import local (PCPS),PPMETA,"M,T,A",,0,0
C15.PPOIL,C15,S02,Huile de palme,Import local (PCPS),PPOIL,"M,T,A",,0,0
C15.PPORK,C15,S02,Viande porcine,Import local (PCPS),PPORK,"M,T,A",,0,0
C15.PPOTASH,C15,S02,Potasse,Import local (PCPS),PPOTASH,"M,T,A",,0,0
C15.PPOULT,C15,S02,Volaille,Import local (PCPS),PPOULT,"M,T,A",,0,0
C15.PPROPANE,C15,S02,Propane,Import local (PCPS),PPROPANE,"M,T,A",,0,0
C15.PRAWM,C15,S02,Indice des matières premières agricoles,Import local (PCPS),PRAWM,"M,T,A",,0,0
C15.PREODOM,C15,S02,Terres rares,Import local (PCPS),PREODOM,"M,T,A",,0,0
C15.PRICENPQ,C15,S02,Riz,Import local (PCPS),PRICENPQ,"M,T,A",,0,0
C15.PROIL,C15,S02,Huile de colza,Import local (PCPS),PROIL,"M,T,A",,0,0
C15.PRUBB,C15,S02,Caoutchouc,Import local (PCPS),PRUBB,"M,T,A",,0,0
C15.PSALM,C15,S02,Saumon,Import local (PCPS),PSALM,"M,T,A",,0,0
C15.PSAWMAL,C15,S02,"Sciages, Malaisie",Import local (PCPS),PSAWMAL,"M,T,A",,0,0
C15.PSAWORE,C15,S02,Sciages,Import local (PCPS),PSAWORE,"M,T,A",,0,0
C15.PSEAF,C15,S02,Indice des produits de la mer,Import local (PCPS),PSEAF,"M,T,A",,0,0
C15.PSHRI,C15,S02,Crevettes,Import local (PCPS),PSHRI,"M,T,A",,0,0
C15.PSILLUMP,C15,S02,Silicium,Import local (PCPS),PSILLUMP,"M,T,A",,0,0
C15.PSILVER,C15,S02,Argent,Import local (PCPS),PSILVER,"M,T,A",,0,0
C15.PSMEA,C15,S02,Tourteau de soja,Import local (PCPS),PSMEA,"M,T,A",,0,0
C15.PSOFT,C15,S02,Bois tendre,Import local (PCPS),PSOFT,"M,T,A",,0,0
C15.PSOIL,C15,S02,Huile de soja,Import local (PCPS),PSOIL,"M,T,A",,0,0
C15.PSORG,C15,S02,Sorgho,Import local (PCPS),PSORG,"M,T,A",,0,0
C15.PSOYB,C15,S02,Soja,Import local (PCPS),PSOYB,"M,T,A",,0,0
C15.PSUGA,C15,S02,Indice du sucre,Import local (PCPS),PSUGA,"M,T,A",,0,0
C15.PSUGAISA,C15,S02,Sucre,Import local (PCPS),PSUGAISA,"M,T,A",,0,0
C15.PSUGAUSA,C15,S02,"Sucre, États-Unis",Import local (PCPS),PSUGAUSA,"M,T,A",,0,0
C15.PSUNO,C15,S02,Huile de tournesol,Import local (PCPS),PSUNO,"M,T,A",,0,0
C15.PTEA,C15,S02,Thé,Import local (PCPS),PTEA,"M,T,A",,0,0
C15.PTEAINDIA,C15,S02,"Thé, Inde",Import local (PCPS),PTEAINDIA,"M,T,A",,0,0
C15.PTEAMOM,C15,S02,"Thé, Mombasa",Import local (PCPS),PTEAMOM,"M,T,A",,0,0
C15.PTEASL,C15,S02,"Thé, Sri Lanka",Import local (PCPS),PTEASL,"M,T,A",,0,0
C15.PTIMB,C15,S02,Indice du bois,Import local (PCPS),PTIMB,"M,T,A",,0,0
C15.PTIN,C15,S02,Étain,Import local (PCPS),PTIN,"M,T,A",,0,0
C15.PTOMATO,C15,S02,Tomates,Import local (PCPS),PTOMATO,"M,T,A",,0,0
C15.PURAN,C15,S02,Uranium,Import local (PCPS),PURAN,"M,T,A",,0,0
C15.PUREA,C15,S02,Urée,Import local (PCPS),PUREA,"M,T,A",,0,0
C15.PVANPENT,C15,S02,Vanadium,Import local (PCPS),PVANPENT,"M,T,A",,0,0
C15.PVOIL,C15,S02,Indice des huiles végétales,Import local (PCPS),PVOIL,"M,T,A",,0,0
C15.PWHEAMT,C15,S02,Blé,Import local (PCPS),PWHEAMT,"M,T,A",,0,0
C15.PWOOL,C15,S02,Indice de la laine,Import local (PCPS),PWOOL,"M,T,A",,0,0
C15.PWOOLC,C15,S02,"Laine, fibre grossière",Import local (PCPS),PWOOLC,"M,T,A",,0,0
C15.PWOOLF,C15,S02,"Laine, fibre fine",Import local (PCPS),PWOOLF,"M,T,A",,0,0
C15.PZINC,C15,S02,Zinc,Import local (PCPS),PZINC,"M,T,A",,0,0
